phi_deg,phi_idx,layer,theta_idx,R_cm,Z_cm
0.000,0,LCFS,0,132.9043,0.0000
0.000,0,LCFS,1,132.8103,-3.3105
0.000,0,LCFS,2,132.5265,-6.6247
0.000,0,LCFS,3,132.0483,-9.9414
0.000,0,LCFS,4,131.3703,-13.2506
0.000,0,LCFS,5,130.4891,-16.5310
0.000,0,LCFS,6,129.4064,-19.7490
0.000,0,LCFS,7,128.1326,-22.8602
0.000,0,LCFS,8,126.6890,-25.8121
0.000,0,LCFS,9,125.1088,-28.5481
0.000,0,LCFS,10,123.4373,-31.0119
0.000,0,LCFS,11,121.7296,-33.1516
0.000,0,LCFS,12,120.0473,-34.9233
0.000,0,LCFS,13,118.4540,-36.2929
0.000,0,LCFS,14,117.0102,-37.2376
0.000,0,LCFS,15,115.7680,-37.7455
0.000,0,LCFS,16,114.7671,-37.8149
0.000,0,LCFS,17,114.0312,-37.4531
0.000,0,LCFS,18,113.5671,-36.6752
0.000,0,LCFS,19,113.3645,-35.5025
0.000,0,LCFS,20,113.3983,-33.9621
0.000,0,LCFS,21,113.6319,-32.0861
0.000,0,LCFS,22,114.0211,-29.9105
0.000,0,LCFS,23,114.5188,-27.4749
0.000,0,LCFS,24,115.0783,-24.8206
0.000,0,LCFS,25,115.6572,-21.9894
0.000,0,LCFS,26,116.2187,-19.0216
0.000,0,LCFS,27,116.7334,-15.9540
0.000,0,LCFS,28,117.1786,-12.8182
0.000,0,LCFS,29,117.5383,-9.6394
0.000,0,LCFS,30,117.8016,-6.4361
0.000,0,LCFS,31,117.9619,-3.2205
0.000,0,LCFS,32,118.0157,-0.0000
0.000,0,LCFS,33,117.9619,3.2205
0.000,0,LCFS,34,117.8016,6.4361
0.000,0,LCFS,35,117.5383,9.6394
0.000,0,LCFS,36,117.1786,12.8182
0.000,0,LCFS,37,116.7334,15.9540
0.000,0,LCFS,38,116.2187,19.0216
0.000,0,LCFS,39,115.6572,21.9894
0.000,0,LCFS,40,115.0783,24.8206
0.000,0,LCFS,41,114.5188,27.4749
0.000,0,LCFS,42,114.0211,29.9105
0.000,0,LCFS,43,113.6319,32.0861
0.000,0,LCFS,44,113.3983,33.9621
0.000,0,LCFS,45,113.3645,35.5025
0.000,0,LCFS,46,113.5671,36.6752
0.000,0,LCFS,47,114.0312,37.4531
0.000,0,LCFS,48,114.7671,37.8149
0.000,0,LCFS,49,115.7680,37.7455
0.000,0,LCFS,50,117.0102,37.2376
0.000,0,LCFS,51,118.4540,36.2929
0.000,0,LCFS,52,120.0473,34.9233
0.000,0,LCFS,53,121.7296,33.1516
0.000,0,LCFS,54,123.4373,31.0119
0.000,0,LCFS,55,125.1088,28.5481
0.000,0,LCFS,56,126.6890,25.8121
0.000,0,LCFS,57,128.1326,22.8602
0.000,0,LCFS,58,129.4064,19.7490
0.000,0,LCFS,59,130.4891,16.5310
0.000,0,LCFS,60,131.3703,13.2506
0.000,0,LCFS,61,132.0483,9.9414
0.000,0,LCFS,62,132.5265,6.6247
0.000,0,LCFS,63,132.8103,3.3105
0.000,0,plasma_edge,0,137.9043,0.0000
0.000,0,plasma_edge,1,137.8022,-3.5952
