theta_idx,phi_idx,x_cm,y_cm,z_cm
0,0,132.9043,0.0000,0.0000
0,1,132.4939,8.6841,-1.2487
0,2,131.2701,17.2820,-2.4750
0,3,129.2544,25.7103,-3.6569
0,4,126.4818,33.8907,-4.7723
0,5,122.9996,41.7528,-5.7995
0,6,118.8659,49.2359,-6.7184
0,7,114.1466,56.2909,-7.5104
0,8,108.9133,62.8811,-8.1598
0,9,103.2399,68.9827,-8.6544
0,10,97.1998,74.5840,-8.9861
0,11,90.8626,79.6843,-9.1511
0,12,84.2920,84.2920,-9.1501
0,13,77.5444,88.4224,-8.9878
0,14,70.6673,92.0954,-8.6723
0,15,63.6996,95.3332,-8.2144
0,16,56.6721,98.1589,-7.6268
0,17,49.6080,100.5951,-6.9237
0,18,42.5242,102.6624,-6.1197
0,19,35.4321,104.3796,-5.2296
0,20,28.3390,105.7626,-4.2683
0,21,21.2487,106.8246,-3.2504
0,22,14.1626,107.5759,-2.1903
0,23,7.0802,108.0237,-1.1021
0,24,0.0000,108.1725,-0.0000
0,25,-7.0802,108.0237,1.1021
0,26,-14.1626,107.5759,2.1903
0,27,-21.2487,106.8246,3.2504
0,28,-28.3390,105.7626,4.2683
0,29,-35.4321,104.3796,5.2296
0,30,-42.5242,102.6624,6.1197
0,31,-49.6080,100.5951,6.9237
0,32,-56.6721,98.1589,7.6268
0,33,-63.6996,95.3332,8.2144
0,34,-70.6673,92.0954,8.6723
0,35,-77.5444,88.4224,8.9878
0,36,-84.2920,84.2920,9.1501
0,37,-90.8626,79.6843,9.1511
0,38,-97.1998,74.5840,8.9861
0,39,-103.2399,68.9827,8.6544
0,40,-108.9133,62.8811,8.1598
0,41,-114.1466,56.2909,7.5104
0,42,-118.8659,49.2359,6.7184
0,43,-122.9996,41.7528,5.7995
0,44,-126.4818,33.8907,4.7723
0,45,-129.2544,25.7103,3.6569
0,46,-131.2701,17.2820,2.4750
0,47,-132.4939,8.6841,1.2487
0,48,-132.9043,0.0000,0.0000
0,49,-132.4939,-8.6841,-1.2487
0,50,-131.2701,-17.2820,-2.4750
0,51,-129.2544,-25.7103,-3.6569
0,52,-126.4818,-33.8907,-4.7723
0,53,-122.9996,-41.7528,-5.7995
0,54,-118.8659,-49.2359,-6.7184
0,55,-114.1466,-56.2909,-7.5104
0,56,-108.9133,-62.8811,-8.1598
0,57,-103.2399,-68.9827,-8.6544
0,58,-97.1998,-74.5840,-8.9861
0,59,-90.8626,-79.6843,-9.1511
0,60,-84.2920,-84.2920,-9.1501
0,61,-77.5444,-88.4224,-8.9878
0,62,-70.6673,-92.0954,-8.6723
0,63,-63.6996,-95.3332,-8.2144
0,64,-56.6721,-98.1589,-7.6268
0,65,-49.6080,-100.5951,-6.9237
0,66,-42.5242,-102.6624,-6.1197
0,67,-35.4321,-104.3796,-5.2296
0,68,-28.3390,-105.7626,-4.2683
0,69,-21.2487,-106.8246,-3.2504
0,70,-14.1626,-107.5759,-2.1903
0,71,-7.0802,-108.0237,-1.1021
0,72,-0.0000,-108.1725,-0.0000
0,73,7.0802,-108.0237,1.1021
0,74,14.1626,-107.5759,2.1903
0,75,21.2487,-106.8246,3.2504
0,76,28.3390,-105.7626,4.2683
0,77,35.4321,-104.3796,5.2296
0,78,42.5242,-102.6624,6.1197
0,79,49.6080,-100.5951,6.9237
0,80,56.6721,-98.1589,7.6268
0,81,63.6996,-95.3332,8.2144
0,82,70.6673,-92.0954,8.6723
0,83,77.5444,-88.4224,8.9878
0,84,84.2920,-84.2920,9.1501
0,85,90.8626,-79.6843,9.1511
0,86,97.1998,-74.5840,8.9861
0,87,103.2399,-68.9827,8.6544
0,88,108.9133,-62.8811,8.1598
0,89,114.1466,-56.2909,7.5104
0,90,118.8659,-49.2359,6.7184
0,91,122.9996,-41.7528,5.7995
0,92,126.4818,-33.8907,4.7723
0,93,129.2544,-25.7103,3.6569
0,94,131.2701,-17.2820,2.4750
0,95,132.4939,-8.6841,1.2487
1,0,132.8103,0.0000,-3.3105
1,1,132.2416,8.6676,-4.5517
1,2,130.8654,17.2288,-5.7515
1,3,128.7084,25.6017,-6.8891
1,4,125.8101,33.7107,-7.9447
1,5,122.2215,41.4886,-8.8999
1,6,118.0032,48.8785,-9.7376
1,7,113.2230,55.8354,-10.4424
1,8,107.9530,62.3267,-11.0017
1,9,102.2670,68.3326,-11.4057
1,10,96.2373,73.8455,-11.6485
1,11,89.9320,78.8682,-11.7277
1,12,83.4126,83.4126,-11.6452
1,13,76.7326,87.4968,-11.4063
1,14,69.9365,91.1430,-11.0196
1,15,63.0594,94.3751,-10.4963
1,16,56.1283,97.2171,-9.8496
1,17,49.1625,99.6916,-9.0937
1,18,42.1747,101.8186,-8.2435
1,19,35.1727,103.6154,-7.3140
1,20,28.1604,105.0960,-6.3203
1,21,21.1386,106.2708,-5.2769
1,22,14.1062,107.1473,-4.1982
1,23,7.0610,107.7294,-3.0984
1,24,0.0000,108.0179,-1.9914
1,25,-7.0794,108.0106,-0.8913
1,26,-14.1793,107.7023,0.1879
1,27,-21.3005,107.0847,1.2320
1,28,-28.4420,106.1470,2.2266
1,29,-35.6004,104.8753,3.1574
1,30,-42.7690,103.2535,4.0096
1,31,-49.9373,101.2628,4.7686
1,32,-57.0899,98.8826,5.4195
1,33,-64.2059,96.0909,5.9482
1,34,-71.2576,92.8647,6.3408
1,35,-78.2101,89.1816,6.5852
1,36,-85.0206,85.0206,6.6709
1,37,-91.6378,80.3642,6.5905
1,38,-98.0027,75.2001,6.3402
1,39,-104.0492,69.5234,5.9202
1,40,-109.7058,63.3387,5.3357
1,41,-114.8985,56.6617,4.5966
1,42,-119.5531,49.5205,3.7174
1,43,-123.5989,41.9562,2.7164
1,44,-126.9715,34.0219,1.6153
1,45,-129.6159,25.7822,0.4375
1,46,-131.4884,17.3108,-0.7924
1,47,-132.5586,8.6884,-2.0497
1,48,-132.8103,0.0000,-3.3105
1,49,-132.2416,-8.6676,-4.5517
1,50,-130.8654,-17.2288,-5.7515
1,51,-128.7084,-25.6017,-6.8891
1,52,-125.8101,-33.7107,-7.9447
