config,nfp,qs_type,aspect,beta_wout,beta_csv,L_REGCOIL_m,L_gradB_m
QI_nfp1_aScaling,1,QI,9.9998,0.0,0,4.15634,6.69926
QI_NFP1_r1_test_aScaling,1,QI,7.9466,0.0,0,4.71329,7.53603
QI_nfp2_aScaling,2,QI,9.9951,0.0,0,3.00449,5.19186
estell_24_scaled_aScaling,2,stellarator/other,5.2928,0.0,0,2.18595,3.26103
20220609-02-032_QH_nfp3_A6_aScaling,3,QH,6.0,0.0,0,1.8644,3.42767
HSX_without_coil_ripple_nmax4,4,stellarator/other,0.0,0.0,0,2.81108,4.93361
multiopt_scan_QH_nfp4_20210924-01-031_target_grad_grad_B_5027_aScaling,4,QH,5.0299,0.0,0,1.36504,2.57225
aten_hires_aScaling,4,stellarator/other,6.7173,0.0,0,1.56411,3.02103
new_QA_magwell_aScaling,2,QA,6.0,0.0,0,2.98059,5.55315
new_QA_aScaling,2,QA,6.0,0.0,0,2.87476,5.29773
20220124_qfm_well0_length24_aScaling,2,stellarator/other,6.0002,0.0,0,2.87502,5.30368
20220124-01-GiulianiSurfaceOptVmecAnalysis_len24_aScaling,2,stellarator/other,5.9927,0.0,0,2.86025,5.26427
QI_nfp3_aScaling,3,QI,7.9986,0.0,0,1.37123,2.56325
cnt32_368_aScaling,2,stellarator/other,1.7858,0.0,0,0.51889,1.25071
20220124_qfm_well1_length24_aScaling,2,stellarator/other,6.0002,0.0,0,2.97895,5.55628
multiopt_scan_QH_nfp3_20210924-01-046_QH_nfp3_no_magwell_smaller_6551_aScaling,3,QH,4.9812,0.0,0,2.60911,3.91183
20220102-01-055_QH_A6.5_beta0_aScaling,4,QH,6.5,0.0,0,1.35448,2.7385
cfqs_2b40_hires_aScaling,2,stellarator/other,4.3263,0.0,0,1.48392,3.33916
QPS_030703_r1_5mod_bt2_aScaling,2,stellarator/other,2.7488,0.020078,0.020077689863405,0.66254,1.58118
Spong_20160107_ITER_hybridAxisymmFixedBoundary_lasymF_aScaling,1,tokamak/axisym,2.4427,0.022756,0.022756274303615,1.92476,3.05308
st_a34_i32v22_beta_35_scaledAUG_aScaling,2,stellarator/other,3.374,0.034975,0.034974941272718,0.79867,1.43897
new_QH_hires_aScaling,4,QH,8.0,0.0,0,1.79602,3.54181
20210728-01-026_QH_nfp4_A8_magwell_aScaling,4,QH,8.0001,0.0,0,1.52055,3.1882
HSX_QHS_vacuum_ns201_aScaling,4,QH,9.9694,0.0,0,2.23766,4.9052
CTH_highiota_0kA_aScaling,5,stellarator/other,4.537,1e-06,5.91091917489019E-07,1.65557,1.92586
n4qh.b4.a79a_aScaling,4,QH,8.0774,0.040019,0.040018976149689,0.40595,0.96911
bila_a3b25_aScaling,5,stellarator/other,0.0,0.0,0,0.60467,1.17262
GarabedianQAS2_aScaling,2,QA,2.5974,0.030229,0.030228963417124,0.61884,1.42141
CTH_0kA_aScaling,5,stellarator/other,4.9025,0.0,3.23520244514941E-07,2.41021,3.66075
QA_beta0p025_iota0p42_dreopt_HIGHERRES_2022-04-15,2,QA,6.0,0.025474,0.025473591590827,3.04194,5.90416
li383_1.4m_aScaling,3,stellarator/other,4.3653,0.042518,0.042517552108291,0.87711,1.93433
NuhrenbergZille_1988_QHS_aScaling,6,QH,11.682,0.0,0,0.93736,1.65821
n3are_R7.75B5.7,3,stellarator/other,4.5467,0.040578,0.040578413462482,0.86548,1.83746
LNF1714_2537_almostARIESCScaled_beta4,4,stellarator/other,0.0,0.0,0,1.41301,3.2634
ncsx_c09r00_fixed_aScaling,3,stellarator/other,4.469,0.040861,0.040860921556031,1.00149,2.3233
TJII_100_44_64_0.0_aScaling,4,stellarator/other,7.811,0.0,0,0.56377,1.3777
Drevlak_qh_8_7_aScaling,5,QH,8.6047,0.039179,0.039178909444938,0.40994,1.05377
20220102-01-053-003_QH_nfp4_aspect6p5_beta0p05_iteratedWithSfincs,4,tokamak/axisym,6.5001,0.050827,0.050826590929522,1.30094,2.612
d23p4_tm_gamma0_aScaling,5,stellarator/other,10.4633,0.044841,0.04484091477002,1.28583,2.19412
W7-X_standard_configuration_aScaling,5,stellarator/other,10.7509,0.0,1.61450587935252E-13,1.38112,3.47153
r360_g12538_bq+100_ppkf2.b000_aScaling,10,tokamak/axisym,5.7765,0.0,0,0.64755,1.3358
1020_1080_0930_0843_+0000_+0000_01_166_fixedb_aScaling,5,stellarator/other,10.9716,0.039948,0.039948222310334,1.59525,3.69788
r353_g12538_bq+100_ppkf2.b000_aScaling,10,tokamak/axisym,6.2766,0.0,0,0.73021,1.53544
r375_g12538_bq+100_ppkf2.b000_aScaling,10,tokamak/axisym,6.3155,0.0,0,0.7858,1.72259
ATF_aScaling,12,stellarator/other,7.6793,0.0,0,0.99128,2.17212
