ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
1007,2,QA,2.8569763305,0.3500068001,1.024433136400345,4,1,-1.5211610188,0.2826962167289653,0.8076877839179024,0.2759537998959149,0.2826962167289653,0.2826962167289655
11357,2,QA,4.9999955401,0.2000000595,1.003954434684979,8,2,-2.4602138092,0.35001848358258325,1.7500918972605768,0.34863981022446716,0.35001848358258325,0.4166893776327951
24285,2,QA,6.6666665383,0.150000001,0.9989244009085371,12,3,-4.059884882,0.3088845634955211,2.0592304095752714,0.3092171571888582,0.3088845634955211,0.4445657613723461
45395,3,QA,19.9999550707,0.0500000255,1.00147459395205,6,1,-2.8404305699,0.3507025317791777,7.014047058419554,0.35018614940117904,0.3507025317791777,0.35070253177917804
52035,3,QA,4.0000587355,0.2499987764,1.063070672467073,12,2,-1.8621798116,0.1634213702454484,0.6536886803956709,0.153725781811096,0.1634213702454484,0.18552214564824132
59509,3,QA,6.6666832285,0.1499998758,0.9999966591027835,18,3,-2.1564404209,0.09703978592277546,0.6469324418118982,0.09704011012380927,0.09703978592277546,0.3400687931486388
66633,4,QA,20.0000021445,0.0499999982,1.001079538427863,8,1,-2.4105851258,0.2934478935703733,5.868958082689957,0.29313144690901993,0.2934478935703733,0.29344789357037343
79030,4,QA,20.0010483967,0.0499973971,1.002186047927807,16,2,-3.1112825715,0.15551029218432666,3.1103677632115505,0.15517108076476527,0.15551029218432666,0.1820725787264211
104435,1,QA,6.6666660107,0.1500000049,1.011452815925492,6,3,-3.0793300594,0.33450071496930206,2.2300046936151934,0.3307131184989877,0.33450071496930206,0.4739276954102309
112734,1,QA,2.857142146,0.350000029,1.035147488707382,8,4,-2.6722686231,0.29829385348596765,0.8522680822005522,0.2881655577974262,0.29829385348596765,0.3141137771593659
114547,1,QA,2.8574929758,0.3499553688,1.018324546256277,8,4,-1.9118841967,0.18596301079244723,0.5313906496994631,0.18261664365855987,0.18596301079244723,0.3521725723722726
115818,1,QA,4.9999991371,0.2000000115,1.003585266579892,8,4,-2.9400721121,0.31747524192785515,1.587376118365149,0.31634107484436846,0.31747524192785515,0.43417218877970887
117786,1,QA,3.9999262708,0.250001536,1.002513344217362,8,4,-2.0054011179,0.15149930917590818,0.6059935134794858,0.1511194938698597,0.15149930917590818,0.4133186822493695
122334,1,QA,6.6666666248,0.1500000003,1.012035907285367,10,5,-3.8905203264,0.3669768349246717,2.44651222793812,0.36261246491641924,0.3669768349246717,0.5134272951290452
124235,1,QA,2.8571380934,0.3500001945,1.020519104531406,10,5,-2.5737109751,0.19777634605659308,0.5650749604271809,0.19379974875375458,0.19777634605659308,0.3374754088115486
125172,1,QA,3.3333319369,0.3000000419,1.004492276839851,10,5,-2.5954892059,0.2093893522719796,0.6979644100909027,0.20845292402916418,0.2093893522719796,0.38720783312699036
125577,1,QA,3.9999999932,0.2500000001,1.010057556543404,10,5,-3.5804137611,0.3357344008891932,1.3429376030195976,0.332391356031369,0.3357344008891932,0.4313306858207969
126777,1,QA,20.0006089781,0.0499984706,0.9987853124243492,10,5,-3.5849279164,0.3368485652008752,6.737177380799229,0.3372582285809184,0.3368485652008752,0.5152928429088511
127637,1,QA,2.8571452864,0.3499999008,0.9859524746082371,10,5,-1.8706722276,0.09166353307579833,0.26189588301677125,0.0929695248366006,0.09166353307579833,0.3554285590003874
134198,1,QA,9.999999922,0.1000000003,1.000004085433042,12,6,-4.3248576853,0.376932349668829,3.7693234853803195,0.3769308097432443,0.376932349668829,0.5688313096320438
135024,1,QA,10.0000000215,0.0999999999,1.000757314758689,12,6,-4.3940435288,0.3416143073870928,3.4161430772870713,0.3413557936066305,0.3416143073870928,0.49539036806211845
