ID,nfp,aspect_ratio,mean_elongation,max_elongation,qs_error,mean_iota,minor_radius,volume,Nsurfaces,pick_reason
923602,3,10.0000002812,1.5137923404,1.5255133184,-3.6563632714,0.1,0.0999999991,0.197392088,2,low_elong
1081578,3,10.0000002812,1.5137923404,1.5255133184,-3.6563632714,0.1,0.0999999991,0.197392088,2,low_elong
932746,3,5.0001404638,1.4688447524,1.5309634725,-2.121856902,0.1,0.1999981272,0.7895683521,4,low_elong
803097,3,9.9999999722,1.5132638321,1.5318440795,-3.6982242236,0.1,0.1000000001,0.197392088,2,low_elong
658722,3,9.9999896938,1.494898351,1.5338754011,-3.0939067569,0.1,0.1000000344,0.197392088,2,low_elong
812176,3,9.9999999845,1.5174578727,1.5339634411,-3.4356885731,0.1,0.1000000001,0.197392088,2,low_elong
59886,3,10.0000025994,1.4824504622,1.5411753188,-2.8463257912,0.1,0.0999999913,0.197392088,2,low_elong
645023,3,10.0000009419,1.5103886936,1.542884558,-3.5754763766,0.1,0.0999999969,0.197392088,2,low_elong
803272,3,9.9999998445,1.515364292,1.5430849992,-3.8044193985,0.1,0.1000000005,0.197392088,2,low_elong
803020,3,9.9999998183,1.5243947154,1.5439878958,-3.5578765937,0.1,0.1000000006,0.197392088,2,low_elong
399015,3,9.9999997073,1.5147412002,1.5441321166,-3.0746607088,0.1,0.100000001,0.197392088,2,low_elong
59509,3,6.6666832285,1.4406890475,1.5448806107,-2.1564404209,0.1,0.1499998758,0.444132198,3,low_elong
802579,3,10.0000010247,1.4786535132,1.5479270497,-2.7011961959,0.1,0.0999999966,0.197392088,2,low_elong
227417,3,10.000000146,1.5220482867,1.5482639567,-3.6353361439,0.1,0.0999999995,0.197392088,2,low_elong
645380,3,10.0000006361,1.5128835422,1.548315703,-3.6092495758,0.1,0.0999999979,0.197392088,2,low_elong
1090790,3,9.9999995954,1.5212555539,1.550737865,-3.5237289362,0.1,0.1000000013,0.197392088,2,low_elong
644960,3,9.999999686,1.5075093856,1.5565951131,-3.5317053681,0.1,0.100000001,0.197392088,2,low_elong
644939,3,10.0000001337,1.5175496817,1.556830493,-3.3881892285,0.1,0.0999999996,0.197392088,2,low_elong
932758,3,9.9999999568,1.5174278003,1.5571805837,-3.628570184,0.1,0.1000000001,0.197392088,2,low_elong
816789,3,10.0000000569,1.5199129611,1.5589313605,-3.651822006,0.1,0.0999999998,0.197392088,2,low_elong
50569,3,9.9999995912,1.5235112119,1.5595540467,-3.6871788749,0.1,0.1000000014,0.197392088,2,low_elong
218219,3,9.9999997657,1.5008491386,1.5618350475,-3.31755271,0.1,0.1000000008,0.197392088,2,low_elong
218485,3,10.0000006003,1.5163991591,1.563552792,-3.7949492614,0.1,0.099999998,0.197392088,2,low_elong
802943,3,10.0000005355,1.5064199904,1.5641010316,-3.5438769949,0.1,0.0999999982,0.197392088,2,low_elong
1090734,3,10.0000000522,1.5163588629,1.5698379707,-3.6218211874,0.1,0.0999999998,0.197392088,2,low_elong
227466,3,10.0000001752,1.510699287,1.5706325591,-3.6710673909,0.1,0.0999999994,0.197392088,2,low_elong
50828,3,9.9999952129,1.4730734171,1.5717755029,-2.6719294296,0.1,0.100000016,0.197392088,2,low_elong
