# n=15 conformal-wall predictor test. Source: python/predictor_test.py on 15 QUASR devices (Ginsburg batch 8885457/8885458 + original 5).
# Y = SPF global benefit = (PF_unpol - min_a2 PF)/PF_unpol. Spearman rho vs Y: PF_geo +0.525, standoff_peak +0.439, spike_area -0.450, shaping_amp -0.186, nematic_Q +0.396
ID,pf_unpol,a2_opt,Y,PF_geo,standoff_peak_ratio,spike_area,shaping_amp,nematic_Q
1052272,1.5203,0.4500,0.0941,1.5082,1.0254,0.0727,0.4350,0.1049
1090019,1.5577,-0.0200,0.0023,1.3884,1.0237,0.1192,0.6862,0.0290
11357,1.4941,0.2700,0.0531,1.4782,1.0278,0.0713,0.4752,0.1128
1642553,1.7590,1.0000,0.0477,1.4863,0.6754,0.0733,0.6906,0.0269
180790,1.4695,0.1800,0.0274,1.3948,0.8584,0.1054,0.7193,0.0200
1854549,1.8020,-0.0400,0.0004,1.5309,0.5724,0.0502,1.0047,0.2266
1960314,1.6029,0.6000,0.0602,1.3837,0.8445,0.1115,0.9062,0.2298
24285,1.5194,0.2600,0.0318,1.4709,0.8611,0.0991,0.6689,0.0687
262171,1.3943,-0.1500,0.0106,1.2019,1.0000,0.3000,0.3972,0.0047
59509,1.3678,0.2100,0.0436,1.2635,1.0000,0.1199,0.2455,0.0248
66633,1.3376,0.0000,0.0000,1.2448,1.0000,0.1027,0.3846,0.0119
803097,1.3999,-0.8300,0.0143,1.1876,1.0000,0.1771,0.2469,0.0921
883496,1.5695,0.3700,0.0978,1.5218,1.0075,0.0737,0.2711,0.1953
886079,1.7775,0.8300,0.1605,1.5977,1.0322,0.0434,0.3755,0.0374
932746,1.3796,0.2200,0.0434,1.3387,1.0000,0.0949,0.1586,0.0051
