ID,class,nfp,aspect,d_min_over_a,gap_m_ARIESCS,blanket_fit_1.29m,blanket_fit_1.0m
1007,QA,2,2.857,0.8077,1.376,1,1
11357,QA,2,5.000,1.7501,2.982,1,1
24285,QA,2,6.667,2.0592,3.509,1,1
45395,QA,3,20.000,7.0140,11.952,1,1
52035,QA,3,4.000,0.6537,1.114,0,1
59509,QA,3,6.667,0.6469,1.102,0,1
66633,QA,4,20.000,5.8690,10.001,1,1
79030,QA,4,20.001,3.1104,5.300,1,1
104435,QA,1,6.667,2.2300,3.800,1,1
112734,QA,1,2.857,0.8523,1.452,1,1
114547,QA,1,2.857,0.5314,0.905,0,0
115818,QA,1,5.000,1.5874,2.705,1,1
117786,QA,1,4.000,0.6060,1.033,0,1
122334,QA,1,6.667,2.4465,4.169,1,1
124235,QA,1,2.857,0.5651,0.963,0,0
125172,QA,1,3.333,0.6980,1.189,0,1
125577,QA,1,4.000,1.3429,2.288,1,1
126777,QA,1,20.001,6.7372,11.480,1,1
127637,QA,1,2.857,0.2619,0.446,0,0
134198,QA,1,10.000,3.7693,6.423,1,1
135024,QA,1,10.000,3.4161,5.821,1,1
136610,QA,1,3.334,0.3861,0.658,0,0
136694,QA,1,3.333,0.2580,0.440,0,0
136695,QA,1,2.858,0.1883,0.321,0,0
137202,QA,1,6.662,2.7284,4.649,1,1
137693,QA,1,5.001,0.9676,1.649,1,1
137694,QA,1,4.003,0.6315,1.076,0,1
150260,QA,1,3.333,0.4344,0.740,0,0
160285,QA,1,2.857,0.4992,0.851,0,0
161137,QA,1,4.000,0.8817,1.502,1,1
161631,QA,1,10.000,2.0366,3.470,1,1
161900,QA,1,4.000,0.7432,1.266,0,1
162351,QA,1,20.000,7.3582,12.538,1,1
162397,QA,1,4.000,0.9132,1.556,1,1
164739,QA,1,10.000,3.0564,5.208,1,1
164985,QA,1,6.667,1.6975,2.893,1,1
166515,QA,1,2.857,0.0917,0.156,0,0
167607,QA,1,2.857,0.1617,0.275,0,0
168794,QA,2,5.000,1.7370,2.960,1,1
174071,QA,2,6.667,2.6045,4.438,1,1
178432,QA,2,6.667,2.4685,4.206,1,1
179224,QA,2,5.000,1.5467,2.636,1,1
180269,QA,2,3.333,0.9808,1.671,1,1
180790,QA,2,10.000,2.8719,4.894,1,1
185880,QA,2,6.667,2.2292,3.799,1,1
189654,QA,2,5.000,1.6043,2.734,1,1
192284,QA,2,10.000,4.1738,7.112,1,1
209893,QA,3,3.333,0.6847,1.167,0,1
220230,QA,3,5.000,0.7930,1.351,1,1
225971,QA,3,4.000,0.8503,1.449,1,1
232765,QA,3,10.000,1.3389,2.281,1,1
235789,QA,4,10.000,2.2391,3.815,1,1
237722,QA,4,6.667,1.5356,2.617,1,1
243019,QA,4,20.000,4.4234,7.537,1,1
244209,QA,4,20.000,3.6699,6.253,1,1
248934,QA,4,20.000,3.4724,5.917,1,1
251797,QA,5,20.000,2.8447,4.847,1,1
252042,QA,5,20.000,4.3777,7.460,1,1
252393,QA,5,10.000,1.5992,2.725,1,1
252504,QA,5,20.000,3.2293,5.503,1,1
252527,QA,5,6.667,1.0488,1.787,1,1
252812,QA,5,20.000,3.3622,5.729,1,1
252896,QA,5,20.000,3.2689,5.570,1,1
252973,QA,5,20.000,3.1639,5.391,1,1
