id,symmetry_class,nfp,aspect,C,S_phi,delta_free_perp,delta_free_perp_sd,delta_free_par,delta_free_par_sd
1656157,QH,3,6.0,0.6587,0.19831,-0.0405,0.00064,0.04068,0.00069
1336739,QH,3,8.0,0.66093,0.20201,-0.04652,0.00105,0.04584,0.00114
1885670,QH,4,12.0,0.66153,0.13999,-0.08155,0.00091,0.08151,0.00108
1950837,QH,4,6.0,0.68362,0.19508,-0.0352,0.00063,0.03501,0.00075
1871622,QH,3,12.0,0.68889,0.21457,-0.08559,0.00096,0.08441,0.00121
1624199,QH,3,8.0,0.69961,0.24627,-0.04496,0.00094,0.04485,0.00094
2450579,QH,4,12.0,0.70091,0.23661,-0.08957,0.0008,0.08935,0.00099
1807182,QH,3,6.0,0.70174,0.24999,-0.0441,0.0008,0.04434,0.00086
2439664,QH,3,12.0,0.70701,0.2747,-0.05313,0.00103,0.05278,0.00117
1330430,QH,4,8.0,0.71005,0.27519,-0.06635,0.00068,0.06687,0.00083
1451468,QH,3,12.0,0.71142,0.26793,-0.09157,0.00091,0.09162,0.00084
1740909,QH,4,12.0,0.74587,0.35315,-0.10433,0.00077,0.10461,0.00085
1331947,QH,4,8.0,0.74737,0.35149,-0.06598,0.0009,0.06547,0.00088
1446437,QH,3,12.0,0.77585,0.42202,-0.04855,0.00071,0.04824,0.00089
2438908,QH,3,12.0,0.77656,0.44405,-0.04951,0.00085,0.04848,0.00092
1598773,QH,4,12.0,0.78175,0.42638,-0.09899,0.0008,0.09826,0.00097
1337294,QH,3,8.001,0.78239,0.44557,-0.06194,0.00086,0.06174,0.00098
2183348,QH,2,8.0,0.8105,0.49746,-0.086,0.00096,0.08503,0.00111
2301020,QH,2,12.0,0.81829,0.51291,-0.10072,0.00097,0.10039,0.00134
1484542,QH,3,8.0,0.8356,0.55801,-0.05916,0.00058,0.05917,0.00071
2367903,QH,2,6.0,0.8391,0.57048,-0.06343,0.0006,0.06343,0.00068
2218691,QH,2,5.999,0.83933,0.58014,-0.06947,0.00069,0.06962,0.00072
2291539,QH,2,12.0,0.83941,0.5671,-0.11461,0.00091,0.11449,0.00127
2370348,QH,2,6.0,0.83957,0.57331,-0.07394,0.00054,0.07354,0.00075
2480592,QH,3,8.001,0.8422,0.57981,-0.05899,0.00084,0.05791,0.00103
1768896,QH,3,8.0,0.84287,0.58057,-0.06377,0.00072,0.06386,0.00083
2325547,QH,2,8.0,0.84378,0.58864,-0.07946,0.00078,0.07814,0.00093
2222438,QH,2,5.998,0.85236,0.61276,-0.06108,0.00069,0.0612,0.00065
1451331,QH,3,12.0,0.85997,0.61574,-0.11254,0.00064,0.11278,0.00099
2325860,QH,2,8.0,0.87026,0.64773,-0.0844,0.00076,0.08475,0.00109
2183149,QH,2,8.0,0.8722,0.65286,-0.07605,0.00081,0.07571,0.00101
1905010,QH,3,8.0,0.8886,0.69945,-0.10655,0.0009,0.10624,0.00138
2195776,QH,3,8.003,0.89071,0.69415,-0.08484,0.00072,0.0839,0.00077
1913757,QH,3,8.0,0.89179,0.70398,-0.07589,0.00073,0.07513,0.00095
2327997,QH,2,8.0,0.89261,0.70762,-0.08125,0.00068,0.08069,0.00083
2150800,QH,2,12.0,0.89264,0.70113,-0.11639,0.0008,0.11727,0.00099
1771633,QH,3,8.001,0.89695,0.7202,-0.06011,0.00063,0.05905,0.00064
2183272,QH,2,8.0,0.89772,0.72173,-0.08916,0.00083,0.08788,0.00079
2218574,QH,2,5.999,0.89941,0.72785,-0.06407,0.00069,0.06376,0.00072
2328901,QH,2,8.0,0.90112,0.72809,-0.07415,0.00073,0.0737,0.00088
191253,QA,2,2.857,0.90628,0.74089,0.00037,0.00081,-0.00034,0.00079
2336187,QH,2,8.0,0.91951,0.77916,-0.07085,0.00066,0.0712,0.00072
2337233,QH,2,8.0,0.92125,0.78267,-0.08206,0.00074,0.08268,0.00084
759978,QA,2,6.667,0.92865,0.79499,-0.08903,0.00073,0.08879,0.00075
157482,QA,1,5.0,0.93722,0.81857,-0.06888,0.0008,0.06871,0.00089
134424,QA,1,5.0,0.93938,0.82427,-0.07707,0.00069,0.07751,0.00086
134412,QA,1,3.333,0.9407,0.82947,-0.01404,0.00085,0.01466,0.00075
115887,QA,1,6.667,0.94237,0.83225,-0.11112,0.00053,0.11111,0.00072
608085,QA,2,6.667,0.94539,0.8406,-0.11061,0.00075,0.11079,0.00098
2300846,QH,2,12.0,0.95361,0.8668,-0.1249,0.0009,0.12501,0.00092
198168,QA,2,3.333,0.96374,0.89303,-0.0155,0.00065,0.01625,0.00071
258204,QA,5,6.668,0.98629,0.95897,-0.09589,0.00082,0.09522,0.00091
