ID,class,nfp,qs_error,aspect_ratio,mean_iota
162351,QA,1,-3.7225,20.000,0.6
134198,QA,1,-4.3249,10.000,0.3
135024,QA,1,-4.3940,10.000,0.4
122334,QA,1,-3.8905,6.667,0.1
164985,QA,1,-3.7164,6.667,0.6
161631,QA,1,-4.4195,10.000,0.4
150260,QA,1,-3.4946,3.333,0.2
161137,QA,1,-3.4123,4.000,0.3
125577,QA,1,-3.5804,4.000,0.4
164739,QA,1,-3.4782,10.000,0.5
104435,QA,1,-3.0793,6.667,0.2
126777,QA,1,-3.5849,20.001,0.5
115818,QA,1,-2.9401,5.000,0.4
112734,QA,1,-2.6723,2.857,0.1
294767,QA,1,-2.7316,4.000,0.2
162397,QA,1,-2.6769,4.000,0.6
125172,QA,1,-2.5955,3.333,0.4
161900,QA,1,-2.8678,4.000,0.5
124235,QA,1,-2.5737,2.857,0.3
136610,QA,1,-2.1054,3.334,0.6
137693,QA,1,-2.5365,5.001,0.7
167607,QA,1,-2.3968,2.857,0.5
160285,QA,1,-2.5113,2.857,0.1
137202,QA,1,-2.2985,6.662,0.6
137694,QA,1,-1.8188,4.003,0.7
127637,QA,1,-1.8707,2.857,0.6
117786,QA,1,-2.0054,4.000,0.6
136695,QA,1,-2.0301,2.858,0.6
136694,QA,1,-1.9715,3.333,0.6
114547,QA,1,-1.9119,2.857,0.3
883330,QA,2,-3.9270,20.000,0.1
1060080,QA,2,-4.3455,20.000,0.1
178432,QA,2,-3.8130,6.667,0.1
24285,QA,2,-4.0599,6.667,0.5
192284,QA,2,-4.6040,10.000,0.5
189654,QA,2,-3.8279,5.000,0.3
179224,QA,2,-3.1254,5.000,0.2
185880,QA,2,-3.1240,6.667,0.8
1042638,QA,2,-3.5200,6.667,0.2
1051091,QA,2,-3.3752,2.857,0.1
606074,QA,2,-3.4408,20.000,0.2
775499,QA,2,-3.4415,4.000,0.4
361824,QA,2,-2.7790,10.000,0.4
1000272,QA,2,-2.8411,20.001,0.9
180269,QA,2,-2.6378,3.333,0.3
777998,QA,2,-2.9780,4.000,0.6
777649,QA,2,-2.6910,3.333,0.6
888694,QA,2,-2.9995,6.667,0.6
180790,QA,2,-2.5107,10.000,0.4
1052272,QA,2,-2.4420,4.000,0.2
11357,QA,2,-2.4602,5.000,0.2
883496,QA,2,-2.5856,3.333,0.1
894738,QA,2,-2.5931,3.333,0.3
366459,QA,2,-2.3392,6.667,0.8
1035368,QA,2,-1.4421,3.333,0.4
1042101,QA,2,-1.9467,4.000,0.2
877292,QA,2,-1.4934,5.000,0.4
174071,QA,2,-1.5505,6.667,0.6
1007,QA,2,-1.5212,2.857,0.1
168794,QA,2,-1.8624,5.000,0.1
657580,QA,3,-3.8005,20.004,0.7
931756,QA,3,-3.7460,20.000,0.9
1095472,QA,3,-4.4698,20.000,0.2
1090019,QA,3,-3.9046,20.000,0.9
1090831,QA,3,-4.3736,20.000,0.1
923503,QA,3,-3.9306,20.000,0.1
1096180,QA,3,-3.5960,10.000,0.6
232765,QA,3,-3.5366,10.000,0.6
1081620,QA,3,-3.6101,10.000,0.1
638925,QA,3,-3.3384,20.000,0.4
810803,QA,3,-3.5950,20.000,0.8
1090727,QA,3,-3.5294,10.000,0.1
646306,QA,3,-2.8470,5.000,0.2
918568,QA,3,-2.6268,20.000,0.5
45395,QA,3,-2.8404,20.000,0.5
1081587,QA,3,-3.0702,5.000,0.1
