ID,class,nfp,S_phi,C,lambda_phi,reversal_frac
2007828,QH,6,-0.2283,0.6186,0.1811,0.0613
2013568,QH,6,-0.1879,0.5669,0.2081,0.0006
2487459,QH,4,-0.1731,0.6086,0.2180,0.1098
1921186,QH,4,-0.0852,0.6436,0.2766,0.0874
2487320,QH,4,-0.0709,0.7231,0.2861,0.0662
1880259,QH,4,-0.0602,0.6965,0.2932,0.0726
1743523,QH,4,-0.0351,0.7273,0.3099,0.0193
1880092,QH,4,-0.0075,0.7139,0.3283,0.0443
1955431,QH,4,0.0518,0.6322,0.3678,0.0105
2524474,QH,4,0.1284,0.6566,0.4190,0.0066
1505944,QH,2,0.1330,0.5876,0.4220,0.0330
2230208,QH,2,0.1339,0.5989,0.4226,0.0260
1885670,QH,4,0.1438,0.6648,0.4292,0.0000
1762178,QH,3,0.1607,0.6892,0.4405,0.0430
2327752,QH,2,0.1692,0.6277,0.4461,0.0236
2225908,QH,2,0.1697,0.6337,0.4465,0.0422
1790799,QH,2,0.1815,0.5963,0.4543,0.0575
1656157,QH,3,0.1867,0.6567,0.4578,0.0099
1950837,QH,4,0.1913,0.6806,0.4609,0.0037
2231728,QH,3,0.1967,0.6982,0.4644,0.0289
1336739,QH,3,0.2015,0.6577,0.4677,0.0224
2194424,QH,2,0.2032,0.6195,0.4688,0.0362
2296767,QH,2,0.2122,0.6754,0.4748,0.0059
1871622,QH,3,0.2146,0.6878,0.4764,0.0054
2218517,QH,2,0.2197,0.6649,0.4798,0.0170
2190977,QH,2,0.2226,0.6564,0.4817,0.0258
2150517,QH,2,0.2234,0.6764,0.4822,0.0121
2509345,QH,3,0.2297,0.6945,0.4865,0.0118
2369483,QH,2,0.2309,0.6543,0.4873,0.0277
1577542,QH,2,0.2349,0.6606,0.4899,0.0198
2450579,QH,4,0.2364,0.6989,0.4909,0.0028
1807182,QH,3,0.2523,0.7015,0.5016,0.0037
1624199,QH,3,0.2552,0.6985,0.5034,0.0065
2293681,QH,2,0.2746,0.6865,0.5164,0.0216
1330430,QH,4,0.2751,0.7098,0.5167,0.0046
1451468,QH,3,0.2759,0.7098,0.5172,0.0073
2439664,QH,3,0.2818,0.6947,0.5212,0.0158
2469994,QH,2,0.2980,0.6782,0.5320,0.0303
2331986,QH,2,0.2982,0.7013,0.5321,0.0148
1862008,QH,2,0.3060,0.6871,0.5374,0.0288
1634455,QH,4,0.3109,0.7289,0.5406,0.0024
2226889,QH,2,0.3154,0.7092,0.5436,0.0077
2291622,QH,2,0.3276,0.7049,0.5518,0.0241
2147186,QH,2,0.3363,0.7182,0.5576,0.0208
890009,QA,2,0.3462,0.7699,0.5641,0.0033
1331947,QH,4,0.3516,0.7473,0.5677,0.0000
185683,QA,2,0.3523,0.7525,0.5682,0.0000
1740909,QH,4,0.3530,0.7460,0.5686,0.0015
2361497,QH,2,0.3534,0.7380,0.5689,0.0064
2515642,QH,3,0.3614,0.7455,0.5743,0.0042
16928,QA,2,0.3781,0.7701,0.5854,0.0029
2150556,QH,2,0.3807,0.7528,0.5872,0.0026
1577503,QH,2,0.3876,0.7498,0.5917,0.0023
2295232,QH,2,0.3920,0.7638,0.5947,0.0000
195044,QA,2,0.4005,0.7666,0.6004,0.0007
1949518,QH,3,0.4029,0.7695,0.6019,0.0000
17909,QA,2,0.4036,0.7680,0.6024,0.0000
2301830,QH,2,0.4241,0.7614,0.6161,0.0092
1598773,QH,4,0.4260,0.7816,0.6173,0.0000
1940585,QH,3,0.4303,0.7634,0.6202,0.0128
1446437,QH,3,0.4333,0.7748,0.6222,0.0056
1337294,QH,3,0.4381,0.7840,0.6254,0.0013
1871375,QH,3,0.4430,0.7840,0.6286,0.0017
1186520,QH,3,0.4571,0.7880,0.6381,0.0000
2438908,QH,3,0.4581,0.7717,0.6388,0.0171
890894,QA,2,0.4658,0.7943,0.6439,0.0000
1048870,QA,2,0.4658,0.7943,0.6439,0.0000
2151170,QH,2,0.4813,0.7938,0.6542,0.0040
899407,QA,2,0.4819,0.7984,0.6546,0.0000
2161513,QH,3,0.4846,0.7874,0.6564,0.0121
768706,QA,2,0.4865,0.8084,0.6577,0.0006
2182878,QH,2,0.4898,0.8090,0.6599,0.0000
16769,QA,2,0.4935,0.8065,0.6623,0.0000
2183348,QH,2,0.4977,0.8106,0.6651,0.0000
2456406,QH,4,0.5048,0.8147,0.6699,0.0000
1058555,QA,2,0.5050,0.8143,0.6700,0.0000
15058,QA,2,0.5053,0.8144,0.6702,0.0000
