ID,class,nfp,S_phi,C,lambda_phi,reversal_frac,ok
162351,QA,1,0.7605,0.9164,0.8404,0.0000,1
134198,QA,1,0.8038,0.9323,0.8692,0.0000,1
135024,QA,1,0.8206,0.9382,0.8804,0.0000,1
122334,QA,1,0.8821,0.9593,0.9214,0.0000,1
164985,QA,1,0.6940,0.8906,0.7960,0.0000,1
161631,QA,1,0.8286,0.9411,0.8857,0.0000,1
150260,QA,1,0.8692,0.9544,0.9128,0.0000,1
161137,QA,1,0.8756,0.9577,0.9171,0.0000,1
125577,QA,1,0.7556,0.9123,0.8371,0.0000,1
164739,QA,1,0.7907,0.9275,0.8605,0.0000,1
104435,QA,1,0.9332,0.9776,0.9554,0.0000,1
126777,QA,1,0.7926,0.9279,0.8618,0.0000,1
115818,QA,1,0.8306,0.9416,0.8871,0.0000,1
112734,QA,1,0.9711,0.9905,0.9807,0.0000,1
294767,QA,1,0.9365,0.9788,0.9577,0.0000,1
162397,QA,1,0.6228,0.8452,0.7485,0.0097,1
125172,QA,1,0.8158,0.9358,0.8772,0.0000,1
161900,QA,1,0.7331,0.9047,0.8221,0.0000,1
124235,QA,1,0.8820,0.9597,0.9213,0.0000,1
136610,QA,1,0.6265,0.8603,0.7510,0.0000,1
137693,QA,1,0.5505,0.8315,0.7003,0.0007,1
167607,QA,1,0.6994,0.8892,0.7996,0.0000,1
160285,QA,1,0.5635,0.8219,0.7090,0.0188,1
137202,QA,1,0.7493,0.9120,0.8329,0.0000,1
137694,QA,1,0.5873,0.8458,0.7248,0.0006,1
127637,QA,1,0.6648,0.8754,0.7765,0.0000,1
117786,QA,1,0.7212,0.8994,0.8141,0.0000,1
136695,QA,1,0.6054,0.8488,0.7369,0.0000,1
136694,QA,1,0.6210,0.8575,0.7473,0.0000,1
114547,QA,1,0.9086,0.9691,0.9390,0.0000,1
883330,QA,2,0.9157,0.9714,0.9438,0.0000,1
1060080,QA,2,0.9646,0.9882,0.9764,0.0000,1
178432,QA,2,0.9693,0.9898,0.9795,0.0000,1
24285,QA,2,0.7680,0.9189,0.8454,0.0000,1
192284,QA,2,0.7731,0.9210,0.8488,0.0000,1
189654,QA,2,0.8806,0.9595,0.9204,0.0000,1
179224,QA,2,0.9366,0.9788,0.9577,0.0000,1
185880,QA,2,0.5066,0.8129,0.6711,0.0000,1
1042638,QA,2,0.9327,0.9775,0.9551,0.0000,1
1051091,QA,2,0.9481,0.9828,0.9654,0.0000,1
606074,QA,2,0.9339,0.9779,0.9559,0.0000,1
775499,QA,2,0.8200,0.9377,0.8800,0.0000,1
361824,QA,2,0.8111,0.9348,0.8741,0.0000,1
1000272,QA,2,0.5982,0.8538,0.7321,0.0000,1
180269,QA,2,0.8817,0.9597,0.9211,0.0000,1
777998,QA,2,0.6431,0.8691,0.7621,0.0000,1
777649,QA,2,0.6052,0.8526,0.7368,0.0000,1
888694,QA,2,0.6934,0.8903,0.7956,0.0000,1
180790,QA,2,0.8188,0.9376,0.8792,0.0000,1
1052272,QA,2,0.9305,0.9767,0.9537,0.0000,1
11357,QA,2,0.9225,0.9739,0.9483,0.0000,1
883496,QA,2,0.9751,0.9918,0.9834,0.0000,1
894738,QA,2,0.8982,0.9655,0.9322,0.0000,1
366459,QA,2,0.4852,0.8055,0.6568,0.0000,1
1035368,QA,2,0.8739,0.9567,0.9159,0.0000,1
1042101,QA,2,0.9378,0.9792,0.9585,0.0000,1
877292,QA,2,0.9162,0.9718,0.9441,0.0000,1
174071,QA,2,0.8949,0.9646,0.9300,0.0000,1
1007,QA,2,0.8996,0.9651,0.9331,0.0000,1
168794,QA,2,0.8841,0.9598,0.9228,0.0000,1
657580,QA,3,0.9354,0.9788,0.9569,0.0000,1
931756,QA,3,0.9075,0.9695,0.9384,0.0000,1
1095472,QA,3,0.9855,0.9952,0.9904,0.0000,1
