ID,class,nfp,qs_error,aspect_ratio,nc_per_hp,total_coil_length,min_coil2surface_dist
156306,QA,1,-3.7890,5.000,9,85.500,0.2575
124279,QA,1,-4.1741,10.000,5,75.000,0.3662
153099,QA,1,-3.9495,6.667,8,88.000,0.2652
125597,QA,1,-3.7856,5.000,5,85.000,0.3303
156515,QA,1,-4.1597,6.667,9,99.000,0.3028
164776,QA,1,-3.0856,5.000,11,104.500,0.1652
114817,QA,1,-3.1831,5.000,4,64.000,0.3420
313344,QA,1,-3.0796,5.000,6,69.000,0.2753
118128,QA,1,-2.9633,5.000,4,68.000,0.3901
151772,QA,1,-3.1706,3.333,8,100.000,0.2149
152625,QA,1,-3.2312,4.000,8,108.000,0.3041
127727,QA,1,-3.0296,3.333,5,85.000,0.2835
158408,QA,1,-2.4584,3.333,9,90.000,0.1518
162461,QA,1,-2.7557,3.333,10,110.000,0.1760
133418,QA,1,-2.6128,3.333,6,66.000,0.2420
126179,QA,1,-2.5441,4.000,5,65.000,0.2228
146760,QA,1,-2.3376,3.333,7,87.500,0.2174
145760,QA,1,-2.2449,2.858,7,84.000,0.1719
145585,QA,1,-2.0295,2.857,7,73.500,0.1193
158402,QA,1,-2.2485,2.857,9,90.000,0.1101
125152,QA,1,-2.2622,2.858,5,65.000,0.2002
896488,QA,2,-3.4976,3.333,3,102.000,0.2633
772434,QA,2,-3.4304,3.333,3,87.000,0.3205
616837,QA,2,-3.3997,4.000,3,99.000,0.2634
631226,QA,2,-4.4307,10.000,5,95.000,0.3032
764088,QA,2,-3.2663,5.000,2,64.000,0.3172
1044457,QA,2,-3.1512,10.000,2,54.000,0.3484
606775,QA,2,-3.1186,10.000,2,50.000,0.3233
897002,QA,2,-3.1864,10.000,3,72.000,0.2194
889059,QA,2,-3.0244,5.001,2,70.000,0.3601
202213,QA,2,-3.0474,4.000,4,108.000,0.2123
1053839,QA,2,-3.1925,5.000,3,69.000,0.2701
896005,QA,2,-3.0918,3.333,3,78.000,0.2811
187284,QA,2,-2.6389,2.857,3,69.000,0.2104
20933,QA,2,-2.6673,5.000,3,90.000,0.2191
1053994,QA,2,-2.4974,4.000,3,78.000,0.2243
179220,QA,2,-2.5091,2.857,2,62.000,0.2847
612308,QA,2,-2.0877,4.000,2,58.000,0.2149
608417,QA,2,-2.3404,3.333,2,70.000,0.3481
11290,QA,2,-2.0030,2.857,2,58.000,0.2394
1063718,QA,2,-2.0938,3.334,4,80.000,0.1575
614248,QA,2,-2.0532,3.333,3,74.992,0.0999
178713,QA,2,-2.1271,5.000,2,44.000,0.2508
170979,QA,2,-1.7116,4.000,1,36.002,0.3068
605590,QA,2,-1.7612,2.857,2,46.001,0.2363
352697,QA,2,-1.4239,6.664,1,31.016,0.3798
362828,QA,2,-1.6589,4.000,2,44.003,0.1962
804212,QA,3,-2.8505,5.000,2,84.000,0.1679
929147,QA,3,-2.9241,6.667,2,90.000,0.2026
655056,QA,3,-2.8754,5.000,3,112.500,0.1961
63512,QA,3,-3.0424,10.001,3,81.000,0.2471
1091820,QA,3,-3.0463,6.667,3,90.000,0.1993
56078,QA,3,-3.2977,10.000,2,99.000,0.2642
655894,QA,3,-3.2702,10.000,3,99.000,0.1663
654496,QA,3,-3.2447,5.000,3,108.000,0.1658
814649,QA,3,-2.3549,5.000,3,81.000,0.1225
813746,QA,3,-2.1612,5.000,3,90.000,0.3577
1083311,QA,3,-1.5680,3.334,2,57.002,0.1788
1075139,QA,3,-1.5647,6.666,1,37.500,0.2817
798536,QA,3,-1.2423,4.000,1,33.001,0.2089
644664,QA,3,-1.7960,2.857,2,57.000,0.1467
795372,QA,3,-1.4394,4.000,1,34.501,0.2267
676390,QA,4,-3.6000,10.000,3,114.000,0.1969
828311,QA,4,-3.5224,10.000,2,112.000,0.1486
81684,QA,4,-3.3468,10.000,3,108.000,0.1088
81782,QA,4,-3.7431,10.000,3,120.000,0.1674
827912,QA,4,-3.5715,10.000,2,84.000,0.1422
245449,QA,4,-2.9201,10.000,2,96.000,0.1010
670664,QA,4,-2.8293,10.000,2,84.000,0.1957
671749,QA,4,-2.9954,10.000,2,108.000,0.1059
670125,QA,4,-2.9937,10.000,2,96.000,0.1800
234221,QA,4,-2.8154,10.000,1,66.000,0.2337
67327,QA,4,-2.8329,10.000,1,62.000,0.2036
1106127,QA,4,-2.3889,10.000,1,68.000,0.1738
829795,QA,4,-2.5235,10.000,2,112.000,0.0999
243125,QA,4,-2.6276,10.000,2,83.996,0.1482
243699,QA,4,-2.5040,10.000,2,72.000,0.1096
945288,QA,4,-1.9865,10.000,1,42.001,0.2230
73515,QA,4,-2.0765,10.000,1,54.000,0.2232
666184,QA,4,-2.3108,10.000,1,60.000,0.2074
662488,QA,4,-2.0672,10.000,1,42.001,0.2316
948144,QA,4,-2.1359,10.000,1,68.000,0.1963
940385,QA,4,-1.6904,3.333,1,56.000,0.1455
1098866,QA,4,-0.9956,2.858,1,36.000,0.1359
945522,QA,4,-1.2150,4.001,1,50.002,0.1611
1112543,QA,4,-1.1333,3.334,2,100.020,0.1549
251798,QA,5,-2.5472,10.000,1,80.000,0.1923
251756,QA,5,-2.5538,10.000,1,77.500,0.1826
252666,QA,5,-2.3733,10.000,1,70.000,0.1742
261059,QA,5,-2.5354,10.000,2,95.000,0.1287
253933,QA,5,-2.2344,10.000,1,80.000,0.1876
251182,QA,5,-2.1359,10.000,1,52.500,0.2201
252883,QA,5,-2.2578,10.000,1,80.000,0.1661
251273,QA,5,-2.2619,10.000,1,57.500,0.1881
252211,QA,5,-1.9820,10.000,1,50.001,0.2013
256838,QA,5,-1.9319,10.000,1,67.500,0.1835
259064,QA,5,-1.7043,10.000,1,72.500,0.2032
253153,QA,5,-1.0607,3.335,1,45.000,0.1108
259106,QA,5,-1.6600,10.001,1,72.499,0.2006
257182,QA,5,-1.5018,6.670,1,67.553,0.1725
251430,QA,5,-1.6742,4.000,1,62.505,0.1587
2155439,QH,2,-3.8485,12.000,4,104.000,0.3207
2290895,QH,2,-3.4558,12.000,5,82.000,0.2709
2297082,QH,2,-3.6751,12.000,5,110.000,0.3435
2299426,QH,2,-3.5020,12.000,5,88.000,0.2535
2324457,QH,2,-3.4881,8.000,4,102.400,0.3419
2326591,QH,2,-3.4612,8.000,5,110.000,0.2572
2324337,QH,2,-2.9023,8.000,4,78.400,0.2693
1438188,QH,2,-3.0975,12.000,4,72.000,0.2299
2431074,QH,2,-3.2631,12.000,5,80.000,0.2130
1862130,QH,2,-3.1929,12.000,5,76.000,0.2278
2191634,QH,2,-2.8611,8.000,4,86.400,0.2493
2148208,QH,2,-2.7982,12.000,2,64.000,0.2981
2147970,QH,2,-2.6620,12.000,2,62.400,0.4193
2331080,QH,2,-2.4154,8.000,2,56.000,0.3064
2370233,QH,2,-2.4076,6.000,3,105.600,0.2515
2332383,QH,2,-2.7225,8.000,2,64.000,0.3354
2331975,QH,2,-2.1092,8.000,3,68.400,0.2989
2362117,QH,2,-2.1344,6.000,5,96.000,0.2679
2359941,QH,2,-2.0364,6.000,4,81.600,0.2675
2334466,QH,2,-2.0539,8.000,3,78.000,0.3532
2300307,QH,2,-2.0087,12.000,2,50.400,0.3132
2183075,QH,2,-1.7400,8.000,2,59.203,0.3044
1509160,QH,2,-1.6320,6.000,4,64.002,0.1672
2364205,QH,2,-1.6595,6.000,2,52.803,0.2882
2229465,QH,2,-1.7701,6.000,5,92.004,0.2302
2373150,QH,2,-1.4324,6.000,5,118.016,0.2043
1651816,QH,2,-1.3058,6.000,4,67.218,0.1509
1586915,QH,3,-4.0181,12.000,4,91.200,0.2235
1587695,QH,3,-3.4655,12.000,4,108.000,0.2298
1151583,QH,3,-3.3705,10.000,4,95.000,0.1704
2473744,QH,3,-3.4844,8.000,5,108.000,0.1859
