ID,class,nfp,qs_error,aspect_ratio
134961,QA,1,-4.4437,10.000
166525,QA,1,-3.6775,6.667
124532,QA,1,-4.0561,6.667
143907,QA,1,-4.3904,10.000
160330,QA,1,-4.1698,6.667
135096,QA,1,-4.0906,5.000
137727,QA,1,-3.2466,6.667
152498,QA,1,-3.1547,5.000
136971,QA,1,-3.1511,6.667
139490,QA,1,-3.2904,10.000
137001,QA,1,-2.4946,4.000
144518,QA,1,-2.7905,5.000
136931,QA,1,-2.6103,3.999
161474,QA,1,-2.5332,3.333
305818,QA,1,-2.7974,6.667
126691,QA,1,-2.2694,3.333
136799,QA,1,-2.3245,3.333
152101,QA,1,-2.1306,3.333
181581,QA,2,-4.1005,10.000
895219,QA,2,-4.1359,5.000
604808,QA,2,-3.5714,10.000
1054112,QA,2,-3.9328,5.000
896606,QA,2,-3.7632,4.000
626000,QA,2,-3.7100,4.000
1043612,QA,2,-2.8599,5.000
765822,QA,2,-3.0561,9.999
191572,QA,2,-3.1882,5.000
632710,QA,2,-3.0454,10.001
1043611,QA,2,-3.1353,6.667
611651,QA,2,-2.6367,3.333
607206,QA,2,-2.6193,3.333
766323,QA,2,-2.7299,3.333
199589,QA,2,-2.7288,3.333
1042669,QA,2,-2.8089,3.333
602092,QA,2,-2.1606,10.000
612509,QA,2,-2.1103,6.667
598709,QA,2,-1.2674,2.856
171846,QA,2,-1.4194,5.000
4211,QA,2,-1.5990,4.000
171890,QA,2,-1.3068,3.332
168795,QA,2,-1.7243,4.000
937217,QA,3,-3.9938,10.000
227628,QA,3,-3.6422,6.667
1093422,QA,3,-3.4909,10.000
810216,QA,3,-3.0712,10.000
210975,QA,3,-2.4190,6.667
924654,QA,3,-2.7793,5.000
645077,QA,3,-2.3352,2.857
647307,QA,3,-2.2515,5.000
644726,QA,3,-2.0280,3.333
797469,QA,3,-1.9414,10.000
915197,QA,3,-1.9480,5.000
40610,QA,3,-1.6356,5.000
795682,QA,3,-1.5046,2.857
949677,QA,4,-3.3842,10.000
1106827,QA,4,-3.5144,10.000
243552,QA,4,-3.5316,10.000
948991,QA,4,-3.4297,10.000
244175,QA,4,-2.9764,10.000
1112910,QA,4,-2.8675,10.000
819155,QA,4,-2.9064,10.000
951035,QA,4,-3.1854,10.000
660927,QA,4,-2.9875,10.000
81957,QA,4,-3.0343,10.000
671763,QA,4,-3.0987,10.000
660759,QA,4,-2.6206,10.000
821990,QA,4,-2.4237,10.000
828068,QA,4,-2.3716,5.000
1113150,QA,4,-2.3822,5.000
946870,QA,4,-2.1423,10.000
235182,QA,4,-2.2370,5.000
674830,QA,4,-2.0527,6.667
833372,QA,4,-2.0548,10.000
1107115,QA,4,-2.1563,6.667
675109,QA,4,-2.2504,10.001
245880,QA,4,-1.1544,3.336
829974,QA,4,-1.2161,3.335
420116,QA,4,-1.2120,4.003
945226,QA,4,-1.5904,6.667
672193,QA,4,-1.3726,4.001
661713,QA,4,-1.8057,5.000
252890,QA,5,-2.8532,10.000
251875,QA,5,-2.8984,10.000
260695,QA,5,-2.5920,10.000
252659,QA,5,-2.4438,10.000
252561,QA,5,-2.4214,10.000
260716,QA,5,-2.6941,10.000
260457,QA,5,-1.9958,10.000
252555,QA,5,-2.0203,6.667
255494,QA,5,-1.8874,10.000
252099,QA,5,-1.9204,10.000
253240,QA,5,-1.9099,10.000
264020,QA,5,-1.9305,10.001
252723,QA,5,-2.1674,6.667
253383,QA,5,-1.3789,4.000
258456,QA,5,-1.3582,6.667
251086,QA,5,-1.5934,5.000
259086,QA,5,-1.4244,6.668
252345,QA,5,-1.8543,6.667
258102,QA,5,-0.9426,3.341
254248,QA,5,-1.8266,10.000
439842,QA,5,-1.0589,4.003
2324450,QH,2,-3.3761,8.000
2300248,QH,2,-3.5099,12.000
2299847,QH,2,-3.6833,12.000
2194965,QH,2,-3.4426,8.000
1865676,QH,2,-3.1134,12.000
2224833,QH,2,-3.1094,6.000
2293992,QH,2,-3.3131,12.000
2150417,QH,2,-3.0038,12.000
2154967,QH,2,-2.4855,12.000
2150200,QH,2,-2.5684,12.000
2336213,QH,2,-2.7791,8.000
2301366,QH,2,-2.5267,12.000
2193949,QH,2,-2.4729,8.000
2290330,QH,2,-2.1517,12.000
